+--------------------------------------------------------------------------------------------+
| Starting Game between Echo & ToddlerProof 
| 
| Echo plays S | SmarterBot plays  | Echo wins
| Echo plays S | SmarterBot plays  | Echo wins
| Echo plays S | SmarterBot plays  | Echo wins
| Echo plays S | SmarterBot plays  | Echo wins
| Echo plays S | SmarterBot plays  | Echo wins
| Echo plays S | SmarterBot plays  | Echo wins
| Echo plays S | SmarterBot plays  | Echo wins
| Echo plays S | SmarterBot plays  | Echo wins
| Echo plays S | SmarterBot plays  | Echo wins
| Echo plays S | SmarterBot plays  | Echo wins
| Echo plays S | SmarterBot plays  | Echo wins
| Echo plays S | SmarterBot plays  | Echo wins
| Echo plays S | SmarterBot plays  | Echo wins
| Echo plays S | SmarterBot plays  | Echo wins
| Echo plays S | SmarterBot plays  | Echo wins
| Echo plays S | SmarterBot plays  | Echo wins
| Echo plays S | SmarterBot plays  | Echo wins
| Echo plays S | SmarterBot plays  | Echo wins
| Echo plays S | SmarterBot plays  | Echo wins
| Echo plays S | SmarterBot plays  | Echo wins
| Echo plays S | SmarterBot plays  | Echo wins
| Echo plays S | SmarterBot plays  | Echo wins
| Echo plays S | SmarterBot plays  | Echo wins
| Echo plays S | SmarterBot plays  | Echo wins
| Echo plays S | SmarterBot plays  | Echo wins
| Echo plays S | SmarterBot plays  | Echo wins
| Echo plays S | SmarterBot plays  | Echo wins
| Echo plays S | SmarterBot plays  | Echo wins
| Echo plays S | SmarterBot plays  | Echo wins
| Echo plays S | SmarterBot plays  | Echo wins
| Echo plays S | SmarterBot plays  | Echo wins
| Echo plays S | SmarterBot plays  | Echo wins
| Echo plays S | SmarterBot plays  | Echo wins
| Echo plays S | SmarterBot plays  | Echo wins
| Echo plays S | SmarterBot plays  | Echo wins
| Echo plays S | SmarterBot plays  | Echo wins
| Echo plays S | SmarterBot plays  | Echo wins
| Echo plays S | SmarterBot plays  | Echo wins
| Echo plays S | SmarterBot plays  | Echo wins
| Echo plays S | SmarterBot plays  | Echo wins
| Echo plays S | SmarterBot plays  | Echo wins
| Echo plays S | SmarterBot plays  | Echo wins
| Echo plays S | SmarterBot plays  | Echo wins
| Echo plays S | SmarterBot plays  | Echo wins
| Echo plays S | SmarterBot plays  | Echo wins
| Echo plays S | SmarterBot plays  | Echo wins
| Echo plays S | SmarterBot plays  | Echo wins
| Echo plays S | SmarterBot plays  | Echo wins
| Echo plays S | SmarterBot plays  | Echo wins
| Echo plays S | SmarterBot plays  | Echo wins
| Echo plays S | SmarterBot plays  | Echo wins
| Echo plays S | SmarterBot plays  | Echo wins
| Echo plays S | SmarterBot plays  | Echo wins
| Echo plays S | SmarterBot plays  | Echo wins
| Echo plays S | SmarterBot plays  | Echo wins
| Echo plays S | SmarterBot plays  | Echo wins
| Echo plays S | SmarterBot plays  | Echo wins
| Echo plays S | SmarterBot plays  | Echo wins
| Echo plays S | SmarterBot plays  | Echo wins
| Echo plays S | SmarterBot plays  | Echo wins
| Echo plays S | SmarterBot plays  | Echo wins
| Echo plays S | SmarterBot plays  | Echo wins
| Echo plays S | SmarterBot plays  | Echo wins
| Echo plays S | SmarterBot plays  | Echo wins
| Echo plays S | SmarterBot plays  | Echo wins
| Echo plays S | SmarterBot plays  | Echo wins
| Echo plays S | SmarterBot plays  | Echo wins
| Echo plays S | SmarterBot plays  | Echo wins
| Echo plays S | SmarterBot plays  | Echo wins
| Echo plays S | SmarterBot plays  | Echo wins
| Echo plays S | SmarterBot plays  | Echo wins
| Echo plays S | SmarterBot plays  | Echo wins
| Echo plays S | SmarterBot plays  | Echo wins
| Echo plays S | SmarterBot plays  | Echo wins
| Echo plays S | SmarterBot plays  | Echo wins
| Echo plays S | SmarterBot plays  | Echo wins
| Echo plays S | SmarterBot plays  | Echo wins
| 
| Game Time: 00:04:38.2711230
| 
| Result: Echo vs SmarterBot: 97 - 2
+--------------------------------------------------------------------------------------------+
| Starting Game between Echo & Markov 
| 
| Echo plays L | Markov plays V | Echo wins
| Echo plays V | Markov plays S | Echo wins
| Echo plays S | Markov plays S | Draw Match
| Echo plays S | Markov plays P | Echo wins
| Echo plays P | Markov plays R | Echo wins
| Echo plays R | Markov plays L | Echo wins
| Echo plays L | Markov plays R | Markov wins
| Echo plays R | Markov plays L | Echo wins
| Echo plays L | Markov plays V | Echo wins
| Echo plays V | Markov plays P | Markov wins
| Echo plays P | Markov plays V | Echo wins
| Echo plays V | Markov plays V | Draw Match
| Echo plays V | Markov plays P | Markov wins
| Echo plays P | Markov plays R | Echo wins
| Echo plays R | Markov plays L | Echo wins
| Echo plays L | Markov plays R | Markov wins
| Echo plays R | Markov plays L | Echo wins
| Echo plays L | Markov plays S | Markov wins
| Echo plays S | Markov plays P | Echo wins
| Echo plays P | Markov plays R | Echo wins
| Echo plays R | Markov plays V | Markov wins
| Echo plays V | Markov plays S | Echo wins
| Echo plays S | Markov plays R | Markov wins
| Echo plays R | Markov plays R | Draw Match
| Echo plays R | Markov plays S | Echo wins
| Echo plays S | Markov plays V | Markov wins
| Echo plays V | Markov plays P | Markov wins
| Echo plays P | Markov plays P | Draw Match
| Echo plays P | Markov plays P | Draw Match
| Echo plays P | Markov plays R | Echo wins
| Echo plays R | Markov plays L | Echo wins
| Echo plays L | Markov plays R | Markov wins
| Echo plays R | Markov plays P | Markov wins
| Echo plays P | Markov plays S | Markov wins
| Echo plays S | Markov plays V | Markov wins
| Echo plays V | Markov plays S | Echo wins
| Echo plays S | Markov plays L | Echo wins
| Echo plays L | Markov plays P | Echo wins
| Echo plays P | Markov plays S | Markov wins
| Echo plays S | Markov plays S | Draw Match
| Echo plays S | Markov plays L | Echo wins
| Echo plays L | Markov plays L | Draw Match
| Echo plays L | Markov plays S | Markov wins
| Echo plays S | Markov plays L | Echo wins
| Echo plays L | Markov plays L | Draw Match
| Echo plays L | Markov plays S | Markov wins
| Echo plays S | Markov plays V | Markov wins
| Echo plays V | Markov plays L | Markov wins
| Echo plays L | Markov plays V | Echo wins
| Echo plays V | Markov plays S | Echo wins
| Echo plays S | Markov plays S | Draw Match
| Echo plays S | Markov plays V | Markov wins
| Echo plays V | Markov plays R | Echo wins
| Echo plays R | Markov plays R | Draw Match
| Echo plays R | Markov plays L | Echo wins
| Echo plays L | Markov plays R | Markov wins
| Echo plays R | Markov plays V | Markov wins
| Echo plays V | Markov plays R | Echo wins
| Echo plays R | Markov plays V | Markov wins
| Echo plays V | Markov plays P | Markov wins
| Echo plays P | Markov plays P | Draw Match
| Echo plays P | Markov plays P | Draw Match
| Echo plays P | Markov plays L | Markov wins
| Echo plays L | Markov plays P | Echo wins
| Echo plays P | Markov plays V | Echo wins
| Echo plays V | Markov plays V | Draw Match
| Echo plays V | Markov plays P | Markov wins
| Echo plays P | Markov plays L | Markov wins
| Echo plays L | Markov plays L | Draw Match
| Echo plays L | Markov plays S | Markov wins
| Echo plays S | Markov plays V | Markov wins
| Echo plays V | Markov plays R | Echo wins
| Echo plays R | Markov plays R | Draw Match
| Echo plays R | Markov plays P | Markov wins
| Echo plays P | Markov plays V | Echo wins
| Echo plays V | Markov plays V | Draw Match
| Echo plays V | Markov plays L | Markov wins
| Echo plays L | Markov plays S | Markov wins
| Echo plays S | Markov plays L | Echo wins
| Echo plays L | Markov plays S | Markov wins
| Echo plays S | Markov plays S | Draw Match
| Echo plays S | Markov plays P | Echo wins
| Echo plays P | Markov plays S | Markov wins
| Echo plays S | Markov plays V | Markov wins
| Echo plays V | Markov plays L | Markov wins
| Echo plays L | Markov plays R | Markov wins
| Echo plays R | Markov plays R | Draw Match
| Echo plays R | Markov plays L | Echo wins
| Echo plays L | Markov plays S | Markov wins
| Echo plays S | Markov plays V | Markov wins
| Echo plays V | Markov plays P | Markov wins
| Echo plays P | Markov plays S | Markov wins
| Echo plays S | Markov plays L | Echo wins
| Echo plays L | Markov plays L | Draw Match
| Echo plays L | Markov plays S | Markov wins
| Echo plays S | Markov plays R | Markov wins
| Echo plays R | Markov plays P | Markov wins
| Echo plays P | Markov plays V | Echo wins
| Echo plays V | Markov plays V | Draw Match
| Echo plays V | Markov plays L | Markov wins
| 
| Game Time: 00:00:05.5011269
| 
| Result: Echo vs Markov: 36 - 44
+--------------------------------------------------------------------------------------------+
| Starting Game between Echo & SuperMarkov 
| 
| Echo plays R | SuperMarkov plays S | Echo wins
| Echo plays S | SuperMarkov plays P | Echo wins
| Echo plays P | SuperMarkov plays V | Echo wins
| Echo plays V | SuperMarkov plays V | Draw Match
| Echo plays V | SuperMarkov plays P | SuperMarkov wins
| Echo plays P | SuperMarkov plays P | Draw Match
| Echo plays P | SuperMarkov plays L | SuperMarkov wins
| Echo plays L | SuperMarkov plays L | Draw Match
| Echo plays L | SuperMarkov plays L | Draw Match
| Echo plays L | SuperMarkov plays S | SuperMarkov wins
| Echo plays S | SuperMarkov plays S | Draw Match
| Echo plays S | SuperMarkov plays S | Draw Match
| Echo plays S | SuperMarkov plays R | SuperMarkov wins
| Echo plays R | SuperMarkov plays R | Draw Match
| Echo plays R | SuperMarkov plays R | Draw Match
| Echo plays R | SuperMarkov plays V | SuperMarkov wins
| Echo plays V | SuperMarkov plays V | Draw Match
| Echo plays V | SuperMarkov plays P | SuperMarkov wins
| Echo plays P | SuperMarkov plays L | SuperMarkov wins
| Echo plays L | SuperMarkov plays S | SuperMarkov wins
| Echo plays S | SuperMarkov plays R | SuperMarkov wins
| Echo plays R | SuperMarkov plays V | SuperMarkov wins
| Echo plays V | SuperMarkov plays P | SuperMarkov wins
| Echo plays P | SuperMarkov plays L | SuperMarkov wins
| Echo plays L | SuperMarkov plays S | SuperMarkov wins
| Echo plays S | SuperMarkov plays R | SuperMarkov wins
| Echo plays R | SuperMarkov plays V | SuperMarkov wins
| Echo plays V | SuperMarkov plays P | SuperMarkov wins
| Echo plays P | SuperMarkov plays L | SuperMarkov wins
| Echo plays L | SuperMarkov plays S | SuperMarkov wins
| Echo plays S | SuperMarkov plays R | SuperMarkov wins
| Echo plays R | SuperMarkov plays V | SuperMarkov wins
| Echo plays V | SuperMarkov plays P | SuperMarkov wins
| Echo plays P | SuperMarkov plays L | SuperMarkov wins
| Echo plays L | SuperMarkov plays S | SuperMarkov wins
| Echo plays S | SuperMarkov plays R | SuperMarkov wins
| Echo plays R | SuperMarkov plays V | SuperMarkov wins
| Echo plays V | SuperMarkov plays P | SuperMarkov wins
| Echo plays P | SuperMarkov plays L | SuperMarkov wins
| Echo plays L | SuperMarkov plays S | SuperMarkov wins
| Echo plays S | SuperMarkov plays R | SuperMarkov wins
| Echo plays R | SuperMarkov plays V | SuperMarkov wins
| Echo plays V | SuperMarkov plays P | SuperMarkov wins
| Echo plays P | SuperMarkov plays L | SuperMarkov wins
| Echo plays L | SuperMarkov plays S | SuperMarkov wins
| Echo plays S | SuperMarkov plays R | SuperMarkov wins
| Echo plays R | SuperMarkov plays V | SuperMarkov wins
| Echo plays V | SuperMarkov plays P | SuperMarkov wins
| Echo plays P | SuperMarkov plays L | SuperMarkov wins
| Echo plays L | SuperMarkov plays S | SuperMarkov wins
| Echo plays S | SuperMarkov plays R | SuperMarkov wins
| Echo plays R | SuperMarkov plays V | SuperMarkov wins
| Echo plays V | SuperMarkov plays P | SuperMarkov wins
| Echo plays P | SuperMarkov plays L | SuperMarkov wins
| Echo plays L | SuperMarkov plays S | SuperMarkov wins
| Echo plays S | SuperMarkov plays R | SuperMarkov wins
| Echo plays R | SuperMarkov plays V | SuperMarkov wins
| Echo plays V | SuperMarkov plays P | SuperMarkov wins
| Echo plays P | SuperMarkov plays L | SuperMarkov wins
| Echo plays L | SuperMarkov plays S | SuperMarkov wins
| Echo plays S | SuperMarkov plays R | SuperMarkov wins
| Echo plays R | SuperMarkov plays V | SuperMarkov wins
| Echo plays V | SuperMarkov plays P | SuperMarkov wins
| Echo plays P | SuperMarkov plays L | SuperMarkov wins
| Echo plays L | SuperMarkov plays S | SuperMarkov wins
| Echo plays S | SuperMarkov plays R | SuperMarkov wins
| Echo plays R | SuperMarkov plays V | SuperMarkov wins
| Echo plays V | SuperMarkov plays P | SuperMarkov wins
| Echo plays P | SuperMarkov plays L | SuperMarkov wins
| Echo plays L | SuperMarkov plays S | SuperMarkov wins
| Echo plays S | SuperMarkov plays R | SuperMarkov wins
| Echo plays R | SuperMarkov plays V | SuperMarkov wins
| Echo plays V | SuperMarkov plays P | SuperMarkov wins
| Echo plays P | SuperMarkov plays L | SuperMarkov wins
| Echo plays L | SuperMarkov plays S | SuperMarkov wins
| Echo plays S | SuperMarkov plays R | SuperMarkov wins
| Echo plays R | SuperMarkov plays V | SuperMarkov wins
| Echo plays V | SuperMarkov plays P | SuperMarkov wins
| Echo plays P | SuperMarkov plays L | SuperMarkov wins
| Echo plays L | SuperMarkov plays S | SuperMarkov wins
| Echo plays S | SuperMarkov plays R | SuperMarkov wins
| Echo plays R | SuperMarkov plays V | SuperMarkov wins
| Echo plays V | SuperMarkov plays P | SuperMarkov wins
| Echo plays P | SuperMarkov plays L | SuperMarkov wins
| Echo plays L | SuperMarkov plays S | SuperMarkov wins
| Echo plays S | SuperMarkov plays R | SuperMarkov wins
| Echo plays R | SuperMarkov plays V | SuperMarkov wins
| Echo plays V | SuperMarkov plays P | SuperMarkov wins
| Echo plays P | SuperMarkov plays L | SuperMarkov wins
| Echo plays L | SuperMarkov plays S | SuperMarkov wins
| Echo plays S | SuperMarkov plays R | SuperMarkov wins
| Echo plays R | SuperMarkov plays V | SuperMarkov wins
| Echo plays V | SuperMarkov plays P | SuperMarkov wins
| Echo plays P | SuperMarkov plays L | SuperMarkov wins
| Echo plays L | SuperMarkov plays S | SuperMarkov wins
| Echo plays S | SuperMarkov plays R | SuperMarkov wins
| Echo plays R | SuperMarkov plays V | SuperMarkov wins
| Echo plays V | SuperMarkov plays P | SuperMarkov wins
| Echo plays P | SuperMarkov plays L | SuperMarkov wins
| Echo plays L | SuperMarkov plays S | SuperMarkov wins
| 
| Game Time: 00:00:04.2723621
| 
| Result: Echo vs SuperMarkov: 3 - 88
+--------------------------------------------------------------------------------------------+
| Starting Game between ToddlerProof & SmarterBot 
| 
| ToddlerProof plays V | SmarterBot plays L | SmarterBot wins
| ToddlerProof plays S | SmarterBot plays V | SmarterBot wins
| ToddlerProof plays P | SmarterBot plays V | ToddlerProof wins
| ToddlerProof plays R | SmarterBot plays V | SmarterBot wins
| ToddlerProof plays L | SmarterBot plays S | SmarterBot wins
| ToddlerProof plays V | SmarterBot plays S | ToddlerProof wins
| ToddlerProof plays S | SmarterBot plays P | ToddlerProof wins
| ToddlerProof plays P | SmarterBot plays S | SmarterBot wins
| ToddlerProof plays R | SmarterBot plays V | SmarterBot wins
| ToddlerProof plays L | SmarterBot plays S | SmarterBot wins
| ToddlerProof plays V | SmarterBot plays L | SmarterBot wins
| ToddlerProof plays S | SmarterBot plays S | Draw Match
| ToddlerProof plays P | SmarterBot plays L | SmarterBot wins
| ToddlerProof plays R | SmarterBot plays R | Draw Match
| ToddlerProof plays L | SmarterBot plays L | Draw Match
| ToddlerProof plays V | SmarterBot plays L | SmarterBot wins
| ToddlerProof plays S | SmarterBot plays V | SmarterBot wins
| ToddlerProof plays P | SmarterBot plays L | SmarterBot wins
| ToddlerProof plays R | SmarterBot plays V | SmarterBot wins
| ToddlerProof plays L | SmarterBot plays V | ToddlerProof wins
| ToddlerProof plays V | SmarterBot plays P | SmarterBot wins
| ToddlerProof plays S | SmarterBot plays V | SmarterBot wins
| ToddlerProof plays P | SmarterBot plays S | SmarterBot wins
| ToddlerProof plays R | SmarterBot plays S | ToddlerProof wins
| ToddlerProof plays L | SmarterBot plays P | ToddlerProof wins
| ToddlerProof plays V | SmarterBot plays L | SmarterBot wins
| ToddlerProof plays S | SmarterBot plays V | SmarterBot wins
| ToddlerProof plays P | SmarterBot plays L | SmarterBot wins
| ToddlerProof plays R | SmarterBot plays V | SmarterBot wins
| ToddlerProof plays L | SmarterBot plays V | ToddlerProof wins
| ToddlerProof plays V | SmarterBot plays S | ToddlerProof wins
| ToddlerProof plays S | SmarterBot plays V | SmarterBot wins
| ToddlerProof plays P | SmarterBot plays S | SmarterBot wins
| ToddlerProof plays R | SmarterBot plays S | ToddlerProof wins
| ToddlerProof plays L | SmarterBot plays V | ToddlerProof wins
| ToddlerProof plays V | SmarterBot plays S | ToddlerProof wins
| ToddlerProof plays S | SmarterBot plays S | Draw Match
| ToddlerProof plays P | SmarterBot plays S | SmarterBot wins
| ToddlerProof plays R | SmarterBot plays S | ToddlerProof wins
| ToddlerProof plays L | SmarterBot plays P | ToddlerProof wins
| ToddlerProof plays V | SmarterBot plays S | ToddlerProof wins
| ToddlerProof plays S | SmarterBot plays S | Draw Match
| ToddlerProof plays P | SmarterBot plays S | SmarterBot wins
| ToddlerProof plays R | SmarterBot plays S | ToddlerProof wins
| ToddlerProof plays L | SmarterBot plays S | SmarterBot wins
| ToddlerProof plays V | SmarterBot plays V | Draw Match
| ToddlerProof plays S | SmarterBot plays S | Draw Match
| ToddlerProof plays P | SmarterBot plays L | SmarterBot wins
| ToddlerProof plays R | SmarterBot plays R | Draw Match
| ToddlerProof plays L | SmarterBot plays S | SmarterBot wins
| ToddlerProof plays V | SmarterBot plays S | ToddlerProof wins
| ToddlerProof plays S | SmarterBot plays V | SmarterBot wins
| ToddlerProof plays P | SmarterBot plays V | ToddlerProof wins
| ToddlerProof plays R | SmarterBot plays S | ToddlerProof wins
| ToddlerProof plays L | SmarterBot plays R | SmarterBot wins
| ToddlerProof plays V | SmarterBot plays S | ToddlerProof wins
| ToddlerProof plays S | SmarterBot plays R | SmarterBot wins
| ToddlerProof plays P | SmarterBot plays L | SmarterBot wins
| ToddlerProof plays R | SmarterBot plays V | SmarterBot wins
| ToddlerProof plays L | SmarterBot plays V | ToddlerProof wins
| ToddlerProof plays V | SmarterBot plays L | SmarterBot wins
| ToddlerProof plays S | SmarterBot plays V | SmarterBot wins
| ToddlerProof plays P | SmarterBot plays S | SmarterBot wins
| ToddlerProof plays R | SmarterBot plays S | ToddlerProof wins
| ToddlerProof plays L | SmarterBot plays L | Draw Match
| ToddlerProof plays V | SmarterBot plays L | SmarterBot wins
| ToddlerProof plays S | SmarterBot plays V | SmarterBot wins
| ToddlerProof plays P | SmarterBot plays L | SmarterBot wins
| ToddlerProof plays R | SmarterBot plays V | SmarterBot wins
| ToddlerProof plays L | SmarterBot plays V | ToddlerProof wins
| ToddlerProof plays V | SmarterBot plays S | ToddlerProof wins
| ToddlerProof plays S | SmarterBot plays R | SmarterBot wins
| ToddlerProof plays P | SmarterBot plays L | SmarterBot wins
| ToddlerProof plays R | SmarterBot plays S | ToddlerProof wins
| ToddlerProof plays L | SmarterBot plays P | ToddlerProof wins
| ToddlerProof plays V | SmarterBot plays V | Draw Match
| ToddlerProof plays S | SmarterBot plays V | SmarterBot wins
| ToddlerProof plays P | SmarterBot plays P | Draw Match
| ToddlerProof plays R | SmarterBot plays V | SmarterBot wins
| ToddlerProof plays L | SmarterBot plays V | ToddlerProof wins
| ToddlerProof plays V | SmarterBot plays S | ToddlerProof wins
| ToddlerProof plays S | SmarterBot plays P | ToddlerProof wins
| ToddlerProof plays P | SmarterBot plays L | SmarterBot wins
| ToddlerProof plays R | SmarterBot plays S | ToddlerProof wins
| ToddlerProof plays L | SmarterBot plays S | SmarterBot wins
| ToddlerProof plays V | SmarterBot plays S | ToddlerProof wins
| ToddlerProof plays S | SmarterBot plays L | ToddlerProof wins
| ToddlerProof plays P | SmarterBot plays V | ToddlerProof wins
| ToddlerProof plays R | SmarterBot plays L | ToddlerProof wins
| ToddlerProof plays L | SmarterBot plays L | Draw Match
| ToddlerProof plays V | SmarterBot plays S | ToddlerProof wins
| ToddlerProof plays S | SmarterBot plays R | SmarterBot wins
| ToddlerProof plays P | SmarterBot plays S | SmarterBot wins
| ToddlerProof plays R | SmarterBot plays R | Draw Match
| ToddlerProof plays L | SmarterBot plays S | SmarterBot wins
| ToddlerProof plays V | SmarterBot plays V | Draw Match
| ToddlerProof plays S | SmarterBot plays S | Draw Match
| ToddlerProof plays P | SmarterBot plays L | SmarterBot wins
| ToddlerProof plays R | SmarterBot plays L | ToddlerProof wins
| ToddlerProof plays L | SmarterBot plays S | SmarterBot wins
| 
| Game Time: 00:00:13.6236469
| 
| Result: ToddlerProof vs SmarterBot: 35 - 50
+--------------------------------------------------------------------------------------------+
| Starting Game between ToddlerProof & Markov 
| 
| ToddlerProof plays V | Markov plays P | Markov wins
| ToddlerProof plays S | Markov plays L | ToddlerProof wins
