+--------------------------------------------------------------------------------------------+
| Starting Game between Echo & ToddlerProof 
| 
| Echo plays R | SmarterBot plays L | Echo wins
| Echo plays R | SmarterBot plays L | Echo wins
| Echo plays V | SmarterBot plays L | SmarterBot wins
| Echo plays L | SmarterBot plays L | Draw Match
| Echo plays L | SmarterBot plays L | Draw Match
| Echo plays S | SmarterBot plays L | Echo wins
| Echo plays P | SmarterBot plays L | SmarterBot wins
| Echo plays P | SmarterBot plays L | SmarterBot wins
| Echo plays R | SmarterBot plays L | Echo wins
| Echo plays V | SmarterBot plays L | SmarterBot wins
| Echo plays V | SmarterBot plays L | SmarterBot wins
| Echo plays L | SmarterBot plays L | Draw Match
| Echo plays S | SmarterBot plays L | Echo wins
| Echo plays S | SmarterBot plays L | Echo wins
| Echo plays P | SmarterBot plays L | SmarterBot wins
| Echo plays R | SmarterBot plays L | Echo wins
| Echo plays V | SmarterBot plays L | SmarterBot wins
| Echo plays V | SmarterBot plays L | SmarterBot wins
| Echo plays L | SmarterBot plays L | Draw Match
| Echo plays S | SmarterBot plays L | Echo wins
| Echo plays S | SmarterBot plays L | Echo wins
| Echo plays P | SmarterBot plays L | SmarterBot wins
| Echo plays R | SmarterBot plays L | Echo wins
| Echo plays R | SmarterBot plays L | Echo wins
| Echo plays V | SmarterBot plays L | SmarterBot wins
| Echo plays L | SmarterBot plays L | Draw Match
| Echo plays S | SmarterBot plays L | Echo wins
| Echo plays S | SmarterBot plays L | Echo wins
| Echo plays P | SmarterBot plays L | SmarterBot wins
| Echo plays R | SmarterBot plays L | Echo wins
| Echo plays L | SmarterBot plays L | Draw Match
| Echo plays V | SmarterBot plays L | SmarterBot wins
| Echo plays L | SmarterBot plays L | Draw Match
| Echo plays P | SmarterBot plays L | SmarterBot wins
| Echo plays S | SmarterBot plays L | Echo wins
| Echo plays P | SmarterBot plays L | SmarterBot wins
| Echo plays V | SmarterBot plays L | SmarterBot wins
| Echo plays R | SmarterBot plays L | Echo wins
| Echo plays V | SmarterBot plays L | SmarterBot wins
| Echo plays S | SmarterBot plays L | Echo wins
| Echo plays P | SmarterBot plays L | SmarterBot wins
| Echo plays L | SmarterBot plays L | Draw Match
| Echo plays R | SmarterBot plays L | Echo wins
| Echo plays V | SmarterBot plays L | SmarterBot wins
| Echo plays P | SmarterBot plays L | SmarterBot wins
| Echo plays V | SmarterBot plays L | SmarterBot wins
| Echo plays S | SmarterBot plays L | Echo wins
| Echo plays L | SmarterBot plays L | Draw Match
| Echo plays S | SmarterBot plays L | Echo wins
| Echo plays R | SmarterBot plays L | Echo wins
| Echo plays S | SmarterBot plays L | Echo wins
| Echo plays R | SmarterBot plays L | Echo wins
| Echo plays L | SmarterBot plays L | Draw Match
| Echo plays R | SmarterBot plays L | Echo wins
| Echo plays L | SmarterBot plays L | Draw Match
| Echo plays P | SmarterBot plays L | SmarterBot wins
| Echo plays L | SmarterBot plays L | Draw Match
| Echo plays P | SmarterBot plays L | SmarterBot wins
| Echo plays V | SmarterBot plays L | SmarterBot wins
| Echo plays P | SmarterBot plays L | SmarterBot wins
| Echo plays V | SmarterBot plays L | SmarterBot wins
| Echo plays S | SmarterBot plays L | Echo wins
| Echo plays V | SmarterBot plays L | SmarterBot wins
| Echo plays S | SmarterBot plays L | Echo wins
| Echo plays R | SmarterBot plays L | Echo wins
| Echo plays S | SmarterBot plays L | Echo wins
| Echo plays P | SmarterBot plays L | SmarterBot wins
| Echo plays L | SmarterBot plays L | Draw Match
| Echo plays R | SmarterBot plays L | Echo wins
| Echo plays V | SmarterBot plays L | SmarterBot wins
| Echo plays S | SmarterBot plays L | Echo wins
| Echo plays L | SmarterBot plays L | Draw Match
| Echo plays S | SmarterBot plays L | Echo wins
| Echo plays R | SmarterBot plays L | Echo wins
| Echo plays P | SmarterBot plays L | SmarterBot wins
| Echo plays R | SmarterBot plays L | Echo wins
| Echo plays L | SmarterBot plays L | Draw Match
| Echo plays V | SmarterBot plays L | SmarterBot wins
| Echo plays L | SmarterBot plays L | Draw Match
| Echo plays P | SmarterBot plays L | SmarterBot wins
| Echo plays S | SmarterBot plays L | Echo wins
| Echo plays P | SmarterBot plays L | SmarterBot wins
| Echo plays V | SmarterBot plays L | SmarterBot wins
| Echo plays R | SmarterBot plays L | Echo wins
| 
| Game Time: 00:00:08.3002406
| 
| Result: Echo vs SmarterBot: 39 - 43
+--------------------------------------------------------------------------------------------+
| Starting Game between Echo & Markov 
| 
| Echo plays V | Markov plays V | Draw Match
| Echo plays P | Markov plays V | Echo wins
| Echo plays L | Markov plays V | Echo wins
| Echo plays L | Markov plays L | Draw Match
| Echo plays L | Markov plays S | Markov wins
| Echo plays L | Markov plays V | Echo wins
| Echo plays P | Markov plays S | Markov wins
| Echo plays S | Markov plays R | Markov wins
| Echo plays R | Markov plays P | Markov wins
| Echo plays R | Markov plays S | Echo wins
| Echo plays L | Markov plays V | Echo wins
| Echo plays R | Markov plays P | Markov wins
| Echo plays S | Markov plays P | Echo wins
| Echo plays V | Markov plays P | Markov wins
| Echo plays S | Markov plays P | Echo wins
| Echo plays S | Markov plays L | Echo wins
| Echo plays V | Markov plays L | Markov wins
| Echo plays P | Markov plays P | Draw Match
| Echo plays V | Markov plays L | Markov wins
| Echo plays V | Markov plays L | Markov wins
| Echo plays V | Markov plays R | Echo wins
| Echo plays S | Markov plays V | Markov wins
| Echo plays P | Markov plays V | Echo wins
| Echo plays V | Markov plays R | Echo wins
| Echo plays P | Markov plays R | Echo wins
| Echo plays V | Markov plays R | Echo wins
| Echo plays L | Markov plays P | Echo wins
| Echo plays L | Markov plays V | Echo wins
| Echo plays L | Markov plays R | Markov wins
| Echo plays P | Markov plays S | Markov wins
| Echo plays L | Markov plays L | Draw Match
| Echo plays R | Markov plays L | Echo wins
| Echo plays R | Markov plays S | Echo wins
| Echo plays L | Markov plays S | Markov wins
| Echo plays R | Markov plays P | Markov wins
| Echo plays S | Markov plays L | Echo wins
| Echo plays V | Markov plays V | Draw Match
| Echo plays S | Markov plays V | Markov wins
| Echo plays S | Markov plays L | Echo wins
| Echo plays R | Markov plays L | Echo wins
| Echo plays P | Markov plays P | Draw Match
| Echo plays V | Markov plays P | Markov wins
| Echo plays V | Markov plays R | Echo wins
| Echo plays V | Markov plays R | Echo wins
| Echo plays S | Markov plays S | Draw Match
| Echo plays P | Markov plays P | Draw Match
| Echo plays L | Markov plays L | Draw Match
| Echo plays P | Markov plays R | Echo wins
| Echo plays P | Markov plays L | Markov wins
| Echo plays L | Markov plays L | Draw Match
| Echo plays R | Markov plays R | Draw Match
| Echo plays L | Markov plays P | Echo wins
| Echo plays R | Markov plays R | Draw Match
| Echo plays L | Markov plays R | Markov wins
| Echo plays S | Markov plays R | Markov wins
| Echo plays R | Markov plays P | Markov wins
| Echo plays S | Markov plays V | Markov wins
| Echo plays R | Markov plays V | Markov wins
| Echo plays V | Markov plays R | Echo wins
| Echo plays R | Markov plays V | Markov wins
| Echo plays V | Markov plays L | Markov wins
| Echo plays S | Markov plays S | Draw Match
| Echo plays V | Markov plays P | Markov wins
| Echo plays S | Markov plays S | Draw Match
| Echo plays P | Markov plays L | Markov wins
| Echo plays V | Markov plays L | Markov wins
| Echo plays P | Markov plays R | Echo wins
| Echo plays R | Markov plays P | Markov wins
| Echo plays P | Markov plays L | Markov wins
| Echo plays L | Markov plays L | Draw Match
| Echo plays L | Markov plays V | Echo wins
| Echo plays R | Markov plays S | Echo wins
| Echo plays V | Markov plays L | Markov wins
| Echo plays P | Markov plays P | Draw Match
| Echo plays P | Markov plays L | Markov wins
| Echo plays L | Markov plays P | Echo wins
| Echo plays L | Markov plays S | Markov wins
| Echo plays V | Markov plays S | Echo wins
| Echo plays V | Markov plays V | Draw Match
| Echo plays P | Markov plays L | Markov wins
| Echo plays P | Markov plays R | Echo wins
| Echo plays S | Markov plays L | Echo wins
| Echo plays R | Markov plays V | Markov wins
| Echo plays R | Markov plays P | Markov wins
| Echo plays S | Markov plays R | Markov wins
| Echo plays P | Markov plays L | Markov wins
| Echo plays V | Markov plays R | Echo wins
| Echo plays P | Markov plays P | Draw Match
| Echo plays V | Markov plays R | Echo wins
| Echo plays P | Markov plays S | Markov wins
| Echo plays V | Markov plays V | Draw Match
| Echo plays P | Markov plays S | Markov wins
| Echo plays P | Markov plays P | Draw Match
| Echo plays V | Markov plays S | Echo wins
| Echo plays P | Markov plays L | Markov wins
| Echo plays L | Markov plays V | Echo wins
| Echo plays R | Markov plays R | Draw Match
| Echo plays L | Markov plays L | Draw Match
| Echo plays L | Markov plays V | Echo wins
| Echo plays R | Markov plays L | Echo wins
| 
| Game Time: 00:00:05.5536252
| 
| Result: Echo vs Markov: 38 - 40
+--------------------------------------------------------------------------------------------+
| Starting Game between Echo & SuperMarkov 
| 
| Echo plays S | SuperMarkov plays S | Draw Match
| Echo plays R | SuperMarkov plays S | Echo wins
| Echo plays P | SuperMarkov plays S | SuperMarkov wins
| Echo plays V | SuperMarkov plays S | Echo wins
| Echo plays S | SuperMarkov plays S | Draw Match
| Echo plays L | SuperMarkov plays S | SuperMarkov wins
| Echo plays R | SuperMarkov plays S | Echo wins
| Echo plays L | SuperMarkov plays S | SuperMarkov wins
| Echo plays V | SuperMarkov plays S | Echo wins
| Echo plays S | SuperMarkov plays S | Draw Match
| Echo plays R | SuperMarkov plays S | Echo wins
| Echo plays S | SuperMarkov plays S | Draw Match
| Echo plays L | SuperMarkov plays S | SuperMarkov wins
| Echo plays P | SuperMarkov plays S | SuperMarkov wins
| Echo plays V | SuperMarkov plays S | Echo wins
| Echo plays R | SuperMarkov plays S | Echo wins
| Echo plays L | SuperMarkov plays S | SuperMarkov wins
| Echo plays P | SuperMarkov plays S | SuperMarkov wins
| Echo plays P | SuperMarkov plays S | SuperMarkov wins
| Echo plays V | SuperMarkov plays S | Echo wins
| Echo plays R | SuperMarkov plays S | Echo wins
| Echo plays L | SuperMarkov plays S | SuperMarkov wins
| Echo plays P | SuperMarkov plays S | SuperMarkov wins
| Echo plays V | SuperMarkov plays S | Echo wins
| Echo plays R | SuperMarkov plays S | Echo wins
| Echo plays S | SuperMarkov plays S | Draw Match
| Echo plays R | SuperMarkov plays S | Echo wins
| Echo plays P | SuperMarkov plays S | SuperMarkov wins
| Echo plays V | SuperMarkov plays S | Echo wins
| Echo plays S | SuperMarkov plays S | Draw Match
| Echo plays V | SuperMarkov plays S | Echo wins
| Echo plays R | SuperMarkov plays S | Echo wins
| Echo plays L | SuperMarkov plays S | SuperMarkov wins
| Echo plays P | SuperMarkov plays S | SuperMarkov wins
| Echo plays S | SuperMarkov plays S | Draw Match
| Echo plays R | SuperMarkov plays S | Echo wins
| Echo plays S | SuperMarkov plays S | Draw Match
| Echo plays L | SuperMarkov plays S | SuperMarkov wins
| Echo plays P | SuperMarkov plays S | SuperMarkov wins
| Echo plays V | SuperMarkov plays S | Echo wins
| Echo plays R | SuperMarkov plays S | Echo wins
| Echo plays L | SuperMarkov plays S | SuperMarkov wins
| Echo plays R | SuperMarkov plays S | Echo wins
| Echo plays L | SuperMarkov plays S | SuperMarkov wins
| Echo plays V | SuperMarkov plays S | Echo wins
| Echo plays S | SuperMarkov plays S | Draw Match
| Echo plays R | SuperMarkov plays S | Echo wins
| Echo plays P | SuperMarkov plays S | SuperMarkov wins
| Echo plays L | SuperMarkov plays S | SuperMarkov wins
| Echo plays P | SuperMarkov plays S | SuperMarkov wins
| Echo plays V | SuperMarkov plays S | Echo wins
| Echo plays R | SuperMarkov plays S | Echo wins
| Echo plays L | SuperMarkov plays S | SuperMarkov wins
| Echo plays R | SuperMarkov plays S | Echo wins
| Echo plays P | SuperMarkov plays S | SuperMarkov wins
| Echo plays V | SuperMarkov plays S | Echo wins
| Echo plays S | SuperMarkov plays S | Draw Match
| Echo plays S | SuperMarkov plays S | Draw Match
| Echo plays P | SuperMarkov plays S | SuperMarkov wins
| Echo plays V | SuperMarkov plays S | Echo wins
| Echo plays V | SuperMarkov plays S | Echo wins
| Echo plays S | SuperMarkov plays S | Draw Match
| Echo plays R | SuperMarkov plays S | Echo wins
| Echo plays R | SuperMarkov plays S | Echo wins
| Echo plays V | SuperMarkov plays S | Echo wins
| Echo plays S | SuperMarkov plays S | Draw Match
| Echo plays S | SuperMarkov plays S | Draw Match
| Echo plays R | SuperMarkov plays S | Echo wins
| Echo plays L | SuperMarkov plays S | SuperMarkov wins
| Echo plays L | SuperMarkov plays S | SuperMarkov wins
| Echo plays S | SuperMarkov plays S | Draw Match
| Echo plays R | SuperMarkov plays S | Echo wins
| Echo plays R | SuperMarkov plays S | Echo wins
| Echo plays L | SuperMarkov plays S | SuperMarkov wins
| Echo plays P | SuperMarkov plays S | SuperMarkov wins
| Echo plays P | SuperMarkov plays S | SuperMarkov wins
| Echo plays V | SuperMarkov plays S | Echo wins
| Echo plays L | SuperMarkov plays S | SuperMarkov wins
| Echo plays L | SuperMarkov plays S | SuperMarkov wins
| Echo plays P | SuperMarkov plays S | SuperMarkov wins
| Echo plays L | SuperMarkov plays S | SuperMarkov wins
| Echo plays V | SuperMarkov plays S | Echo wins
| Echo plays S | SuperMarkov plays S | Draw Match
| Echo plays R | SuperMarkov plays S | Echo wins
| Echo plays P | SuperMarkov plays S | SuperMarkov wins
| Echo plays V | SuperMarkov plays S | Echo wins
| Echo plays P | SuperMarkov plays S | SuperMarkov wins
| Echo plays V | SuperMarkov plays S | Echo wins
| Echo plays R | SuperMarkov plays S | Echo wins
| Echo plays L | SuperMarkov plays S | SuperMarkov wins
| Echo plays P | SuperMarkov plays S | SuperMarkov wins
| Echo plays S | SuperMarkov plays S | Draw Match
| Echo plays V | SuperMarkov plays S | Echo wins
| Echo plays S | SuperMarkov plays S | Draw Match
| Echo plays L | SuperMarkov plays S | SuperMarkov wins
| Echo plays P | SuperMarkov plays S | SuperMarkov wins
| Echo plays V | SuperMarkov plays S | Echo wins
| Echo plays P | SuperMarkov plays S | SuperMarkov wins
| Echo plays V | SuperMarkov plays S | Echo wins
| Echo plays R | SuperMarkov plays S | Echo wins
| 
| Game Time: 00:00:04.2210977
| 
| Result: Echo vs SuperMarkov: 43 - 39
+--------------------------------------------------------------------------------------------+
| Starting Game between ToddlerProof & SmarterBot 
| 
| ToddlerProof plays V | SmarterBot plays L | SmarterBot wins
| ToddlerProof plays V | SmarterBot plays L | SmarterBot wins
| ToddlerProof plays V | SmarterBot plays L | SmarterBot wins
| ToddlerProof plays V | SmarterBot plays L | SmarterBot wins
| ToddlerProof plays V | SmarterBot plays L | SmarterBot wins
| ToddlerProof plays V | SmarterBot plays L | SmarterBot wins
| ToddlerProof plays V | SmarterBot plays L | SmarterBot wins
| ToddlerProof plays V | SmarterBot plays L | SmarterBot wins
| ToddlerProof plays V | SmarterBot plays L | SmarterBot wins
| ToddlerProof plays V | SmarterBot plays L | SmarterBot wins
| ToddlerProof plays V | SmarterBot plays L | SmarterBot wins
| ToddlerProof plays V | SmarterBot plays L | SmarterBot wins
| ToddlerProof plays V | SmarterBot plays L | SmarterBot wins
| ToddlerProof plays V | SmarterBot plays L | SmarterBot wins
| ToddlerProof plays V | SmarterBot plays L | SmarterBot wins
| ToddlerProof plays V | SmarterBot plays L | SmarterBot wins
| ToddlerProof plays V | SmarterBot plays L | SmarterBot wins
| ToddlerProof plays V | SmarterBot plays L | SmarterBot wins
| ToddlerProof plays V | SmarterBot plays L | SmarterBot wins
| ToddlerProof plays V | SmarterBot plays L | SmarterBot wins
| ToddlerProof plays V | SmarterBot plays L | SmarterBot wins
| ToddlerProof plays V | SmarterBot plays L | SmarterBot wins
| ToddlerProof plays V | SmarterBot plays L | SmarterBot wins
| ToddlerProof plays V | SmarterBot plays L | SmarterBot wins
| ToddlerProof plays V | SmarterBot plays L | SmarterBot wins
| ToddlerProof plays V | SmarterBot plays L | SmarterBot wins
| ToddlerProof plays V | SmarterBot plays L | SmarterBot wins
| ToddlerProof plays V | SmarterBot plays L | SmarterBot wins
| ToddlerProof plays V | SmarterBot plays L | SmarterBot wins
| ToddlerProof plays V | SmarterBot plays L | SmarterBot wins
| ToddlerProof plays V | SmarterBot plays L | SmarterBot wins
| ToddlerProof plays V | SmarterBot plays L | SmarterBot wins
| ToddlerProof plays V | SmarterBot plays L | SmarterBot wins
| ToddlerProof plays V | SmarterBot plays L | SmarterBot wins
| ToddlerProof plays V | SmarterBot plays L | SmarterBot wins
| ToddlerProof plays V | SmarterBot plays L | SmarterBot wins
| ToddlerProof plays V | SmarterBot plays L | SmarterBot wins
| ToddlerProof plays V | SmarterBot plays L | SmarterBot wins
| ToddlerProof plays V | SmarterBot plays L | SmarterBot wins
| ToddlerProof plays V | SmarterBot plays L | SmarterBot wins
| ToddlerProof plays V | SmarterBot plays L | SmarterBot wins
| ToddlerProof plays V | SmarterBot plays L | SmarterBot wins
| ToddlerProof plays V | SmarterBot plays L | SmarterBot wins
| ToddlerProof plays V | SmarterBot plays L | SmarterBot wins
| ToddlerProof plays V | SmarterBot plays L | SmarterBot wins
| ToddlerProof plays V | SmarterBot plays L | SmarterBot wins
| ToddlerProof plays V | SmarterBot plays L | SmarterBot wins
| ToddlerProof plays V | SmarterBot plays L | SmarterBot wins
| ToddlerProof plays V | SmarterBot plays L | SmarterBot wins
| ToddlerProof plays V | SmarterBot plays L | SmarterBot wins
| ToddlerProof plays V | SmarterBot plays L | SmarterBot wins
| ToddlerProof plays V | SmarterBot plays L | SmarterBot wins
| ToddlerProof plays V | SmarterBot plays L | SmarterBot wins
| ToddlerProof plays V | SmarterBot plays L | SmarterBot wins
| ToddlerProof plays V | SmarterBot plays L | SmarterBot wins
| ToddlerProof plays V | SmarterBot plays L | SmarterBot wins
| ToddlerProof plays V | SmarterBot plays L | SmarterBot wins
| ToddlerProof plays V | SmarterBot plays L | SmarterBot wins
| ToddlerProof plays V | SmarterBot plays L | SmarterBot wins
| ToddlerProof plays V | SmarterBot plays L | SmarterBot wins
| ToddlerProof plays V | SmarterBot plays L | SmarterBot wins
| ToddlerProof plays V | SmarterBot plays L | SmarterBot wins
| ToddlerProof plays V | SmarterBot plays L | SmarterBot wins
| ToddlerProof plays V | SmarterBot plays L | SmarterBot wins
| ToddlerProof plays V | SmarterBot plays L | SmarterBot wins
| ToddlerProof plays V | SmarterBot plays L | SmarterBot wins
| ToddlerProof plays V | SmarterBot plays L | SmarterBot wins
| ToddlerProof plays V | SmarterBot plays L | SmarterBot wins
| ToddlerProof plays V | SmarterBot plays L | SmarterBot wins
| ToddlerProof plays V | SmarterBot plays L | SmarterBot wins
| ToddlerProof plays V | SmarterBot plays L | SmarterBot wins
| ToddlerProof plays V | SmarterBot plays L | SmarterBot wins
| ToddlerProof plays V | SmarterBot plays L | SmarterBot wins
| ToddlerProof plays V | SmarterBot plays L | SmarterBot wins
| ToddlerProof plays V | SmarterBot plays L | SmarterBot wins
| ToddlerProof plays V | SmarterBot plays L | SmarterBot wins
| ToddlerProof plays V | SmarterBot plays L | SmarterBot wins
| ToddlerProof plays V | SmarterBot plays L | SmarterBot wins
